horaToma,Asset_id,A_Speed,Curr_fLevel,Curr_Temp
2017-10-05 00:00:01,211,0.000,0.000,84.000
2017-10-05 00:00:04,372,0.000,76.400,83.000
2017-10-05 00:00:19,299,101.700,65.600,86.000
2017-10-05 00:00:34,641,0.000,80.000,81.000
2017-10-05 00:00:40,658,78.700,100.000,83.000
2017-10-05 00:00:46,589,0.000,76.800,78.000
2017-10-05 00:00:47,578,14.300,97.600,75.000
2017-10-05 00:00:44,98,29.500,87.200,80.000
2017-10-05 00:00:48,424,5.900,0.000,86.000
2017-10-05 00:00:50,290,0.000,0.000,78.000
2017-10-05 00:00:51,321,104.000,0.000,77.000
2017-10-05 00:00:51,659,95.000,0.000,83.000
2017-10-05 00:00:52,435,92.400,14.800,84.000
2017-10-05 00:00:54,360,102.800,0.000,87.000
2017-10-05 00:00:41,29,101.700,78.400,86.000
2017-10-05 00:00:53,672,98.100,97.600,84.000
2017-10-05 00:00:57,562,0.000,10.000,36.000
2017-10-05 00:00:58,255,96.900,0.000,79.000
2017-10-05 00:00:59,644,92.400,87.600,83.000
2017-10-05 00:01:02,369,0.000,0.000,83.000
2017-10-05 00:01:44,98,32.500,87.200,80.000
2017-10-05 00:01:46,589,0.000,76.800,78.000
2017-10-05 00:01:47,578,32.300,96.000,75.000
2017-10-05 00:01:50,290,9.100,0.000,78.000
2017-10-05 00:01:53,672,94.300,97.600,86.000
2017-10-05 00:02:48,424,49.200,0.000,81.000
2017-10-05 00:02:54,360,105.500,0.000,87.000
2017-10-05 00:03:41,29,102.100,78.000,86.000
2017-10-05 00:04:04,372,6.700,76.800,81.000
2017-10-05 00:04:19,299,101.400,65.600,87.000
2017-10-05 00:04:34,641,0.000,79.200,81.000
2017-10-05 00:04:41,29,101.700,81.600,85.000
2017-10-05 00:00:02,369,8.000,0.000,84.000
2017-10-05 00:01:51,321,104.000,0.000,80.000
2017-10-05 00:05:02,369,0.000,0.000,79.000
2017-10-05 00:05:34,641,0.000,79.200,81.000
